40
1	18
1	36
1	38
1	40
2	20
2	23
2	30
2	38
3	37
3	38
3	39
3	40
4	33
4	34
4	39
4	40
5	7
5	8
5	35
5	40
6	20
6	29
6	32
6	39
7	5
7	24
7	31
7	40
8	5
8	30
8	35
8	40
9	11
9	23
9	28
9	35
10	17
10	34
10	38
10	39
11	9
11	24
11	29
11	40
12	33
12	34
12	36
12	39
13	16
13	32
13	35
13	37
14	26
14	27
14	32
14	36
14	38
15	21
15	22
15	24
15	38
15	40
16	13
16	28
16	35
16	39
16	40
17	10
17	25
17	36
17	38
17	40
18	1
18	20
18	22
18	34
18	35
18	37
19	30
19	32
19	33
19	34
19	36
19	39
20	2
20	6
20	18
20	23
20	37
20	39
21	15
21	28
21	31
21	34
21	38
21	40
22	15
22	18
22	25
22	29
22	31
22	36
22	40
23	2
23	9
23	20
23	32
23	34
23	37
23	40
24	7
24	11
24	15
24	30
24	37
24	39
24	40
25	17
25	22
25	28
25	34
25	35
25	38
25	40
26	14
26	27
26	30
26	33
26	36
26	37
26	38
26	40
27	14
27	26
27	31
27	32
27	36
27	38
27	39
27	40
28	9
28	16
28	21
28	25
28	35
28	36
28	37
28	39
29	6
29	11
29	22
29	33
29	35
29	36
29	38
29	40
30	2
30	8
30	19
30	24
30	26
30	36
30	37
30	39
30	40
31	7
31	21
31	22
31	27
31	33
31	36
31	38
31	39
31	40
32	6
32	13
32	14
32	19
32	23
32	27
32	35
32	37
32	38
32	39
33	4
33	12
33	19
33	26
33	29
33	31
33	34
33	35
33	36
33	37
33	39
34	4
34	10
34	12
34	18
34	19
34	21
34	23
34	25
34	33
34	37
34	39
34	40
35	5
35	8
35	9
35	13
35	16
35	18
35	25
35	28
35	29
35	32
35	33
35	37
35	39
35	40
36	1
36	12
36	14
36	17
36	19
36	22
36	26
36	27
36	28
36	29
36	30
36	31
36	33
36	37
36	38
36	40
37	3
37	13
37	18
37	20
37	23
37	24
37	26
37	28
37	30
37	32
37	33
37	34
37	35
37	36
37	38
37	39
37	40
38	1
38	2
38	3
38	10
38	14
38	15
38	17
38	21
38	25
38	26
38	27
38	29
38	31
38	32
38	36
38	37
38	39
38	40
39	3
39	4
39	6
39	10
39	12
39	16
39	19
39	20
39	24
39	27
39	28
39	30
39	31
39	32
39	33
39	34
39	35
39	37
39	38
39	40
40	1
40	3
40	4
40	5
40	7
40	8
40	11
40	15
40	16
40	17
40	21
40	22
40	23
40	24
40	25
40	26
40	27
40	29
40	30
40	31
40	34
40	35
40	36
40	37
40	38
40	39
